bytes,average_time_ms
1842184,214.2
1843208,222.1
1844232,223.9
1845256,213.7
1846280,212.0
1847304,216.9
1848328,215.6
1849352,215.1
1850376,205.3
1851400,212.2
1852424,187.4
1853448,195.2
1854472,190.2
1855496,202.0
1856520,220.9
1857544,205.3
1858568,194.8
1859592,188.3
1860616,191.8
1861640,199.8
1862664,193.6
1863688,195.6
1864712,198.9
1865736,204.2
1866760,185.7
1867784,193.2
1868808,202.0
1869832,203.9
1870856,203.1
1871880,200.9
1872904,235.6
1873928,244.7
1874952,223.2
1875976,230.1
1877000,236.8
1878024,219.4
1879048,230.3
1880072,262.8
1881096,219.2
1882120,211.0
1883144,220.7
1884168,236.2
1885192,219.5
1886216,204.2
1887240,225.0
1888264,211.0
1889288,239.0
1890312,207.5
1891336,204.1
1892360,196.7
1893384,219.8
1894408,203.0
1895432,232.0
1896456,205.9
1897480,224.1
1898504,213.1
1899528,224.3
1900552,225.2
1901576,215.7
1902600,221.1
1903624,247.1
1904648,228.4
1905672,222.2
1906696,223.7
1907720,214.8
1908744,227.2
1909768,229.8
1910792,227.4
1911816,227.6
1912840,251.0
